team,payroll_2026
Los Angeles Dodgers,"$240,412,861"
New York Mets,"$212,033,547"
Toronto Blue Jays,"$193,025,266"
New York Yankees,"$192,333,333"
Philadelphia Phillies,"$179,382,617"
Atlanta Braves,"$176,500,000"
Houston Astros,"$172,116,666"
San Diego Padres,"$158,856,564"
Texas Rangers,"$149,750,000"
San Fransico Giants,"$136,559,623"
Boston Red Sox,"$135,941,666"
Los Angeles Angels,"$126,913,098"
Chicago Cubs,"$126,000,000"
Arizona Diamondbacks,"$103,508,333"
Kansas City Royals,"$83,784,444"
Seattle Mariners,"$81,127,380"
St. Louis Cardinals,"$80,000,000"
Colorado Rockies,"$65,214,285"
Detroit Tigers,"$48,333,333"
Oakland Athletics,"$48,278,571"
Washington Nationals ,"$47,186,200"
Tampa Bay Rays,"$47,154,545"
Minnesota Twins,"$46,892,857"
Milwaukee Brewers,"$44,982,605"
Cleveland Guardians,"$40,300,000"
Cincinnati Reds,"$39,133,333"
Chicago White Sox ,"$37,100,000"
Baltimore Orioles,"$33,425,000"
Pittsburgh Pirates,"$31,161,500"
Miami Marlins,"$22,300,000"